Instrument_ID,market_max,market_min,max_limit_orders,min_limit_orders
TA112,1000,1,1000,1
CF111,1000,1,1000,1
SR205,200,1,1000,1
TA111,1000,1,1000,1
CF109,1000,1,1000,1
SR203,200,1,1000,1
TA109,1000,1,1000,1
TA202,1000,1,1000,1
CF201,1000,1,1000,1
SR207,200,1,1000,1
TA201,1000,1,1000,1
SR201,1000,1,1000,1
TA110,1000,1,1000,1
TA108,1000,1,1000,1
SR111,1000,1,1000,1
SR109,1000,1,1000,1
TA204,200,1,1000,1
CF203,200,1,1000,1
TA203,200,1,1000,1
CF205,200,1,1000,1
TA205,200,1,1000,1
TA206,200,1,1000,1
CF207,200,1,1000,1
TA207,200,1,1000,1
sc2112,30,1,500,1
sc2109,30,1,500,1
sc2203,30,1,500,1
sc2209,30,1,500,1
bu2109,30,1,500,1
sc2212,30,1,500,1
sc2206,30,1,500,1
bu2203,30,1,500,1
sc2303,30,1,500,1
bu2112,30,1,500,1
sc2306,30,1,500,1
p2110-C-8100,1000,1,1000,1
p2110-C-8200,1000,1,1000,1
p2110-P-8100,1000,1,1000,1
p2110-P-8200,1000,1,1000,1
p2109-C-8200,1000,1,1000,1
p2109-C-8300,1000,1,1000,1
p2109-P-8200,1000,1,1000,1
p2109-P-8300,1000,1,1000,1
au2108,30,1,500,1
bu2206,30,1,500,1
au2110C352,30,1,100,1
au2110C356,30,1,100,1
au2110C360,30,1,100,1
au2110C364,30,1,100,1
au2110C368,30,1,100,1
au2110C372,30,1,100,1
au2110C376,30,1,100,1
au2110C380,30,1,100,1
au2110C384,30,1,100,1
au2110C388,30,1,100,1
au2110C392,30,1,100,1
au2110C396,30,1,100,1
au2110C400,30,1,100,1
au2110C408,30,1,100,1
au2110C416,30,1,100,1
au2110C424,30,1,100,1
au2110C432,30,1,100,1
au2110C440,30,1,100,1
au2110C448,30,1,100,1
au2110C456,30,1,100,1
au2110C464,30,1,100,1
au2110C472,30,1,100,1
au2110C480,30,1,100,1
au2110C488,30,1,100,1
au2110C496,30,1,100,1
au2110C504,30,1,100,1
au2110C512,30,1,100,1
au2110P348,30,1,100,1
au2110P352,30,1,100,1
au2110P356,30,1,100,1
au2110P360,30,1,100,1
au2110P364,30,1,100,1
au2110P368,30,1,100,1
au2110P372,30,1,100,1
au2110P376,30,1,100,1
au2110P380,30,1,100,1
au2110P384,30,1,100,1
au2110P388,30,1,100,1
au2110P392,30,1,100,1
au2110P396,30,1,100,1
au2110P400,30,1,100,1
au2110P408,30,1,100,1
au2110P416,30,1,100,1
au2110P424,30,1,100,1
au2110P432,30,1,100,1
au2110P440,30,1,100,1
au2110P448,30,1,100,1
au2110P456,30,1,100,1
au2110P464,30,1,100,1
au2110P472,30,1,100,1
au2110P480,30,1,100,1
au2110P488,30,1,100,1
au2110P496,30,1,100,1
au2110P504,30,1,100,1
au2110P512,30,1,100,1
bu2209,30,1,500,1
cu2109,30,1,500,1
cu2109C44000,30,1,100,1
cu2109C45000,30,1,100,1
cu2109C46000,30,1,100,1
cu2109C47000,30,1,100,1
cu2109C48000,30,1,100,1
cu2109C49000,30,1,100,1
c2109-C-2240,100,1,100,1
c2109-C-2260,100,1,100,1
c2109-C-2280,100,1,100,1
c2109-C-2300,100,1,100,1
c2109-C-2320,100,1,100,1
c2109-C-2340,100,1,100,1
c2109-C-2360,100,1,100,1
c2109-C-2380,100,1,100,1
c2109-C-2400,100,1,100,1
cu2109C50000,30,1,100,1
cu2109C51000,30,1,100,1
cu2109C52000,30,1,100,1
cu2109C53000,30,1,100,1
cu2109C54000,30,1,100,1
cu2109C55000,30,1,100,1
cu2109C56000,30,1,100,1
cu2109C57000,30,1,100,1
cu2109C58000,30,1,100,1
cu2109C59000,30,1,100,1
cu2109C60000,30,1,100,1
cu2109C61000,30,1,100,1
cu2109P44000,30,1,100,1
cu2109P45000,30,1,100,1
cu2109P46000,30,1,100,1
cu2109P47000,30,1,100,1
cu2109P48000,30,1,100,1
cu2109P49000,30,1,100,1
cu2109P50000,30,1,100,1
cu2109P51000,30,1,100,1
cu2109P52000,30,1,100,1
cu2109P53000,30,1,100,1
cu2109P54000,30,1,100,1
cu2109P55000,30,1,100,1
cu2109P56000,30,1,100,1
cu2109P57000,30,1,100,1
cu2109P58000,30,1,100,1
c2109-C-2420,100,1,100,1
c2109-C-2440,100,1,100,1
c2109-C-2460,100,1,100,1
c2109-C-2480,100,1,100,1
c2109-C-2500,100,1,100,1
c2109-C-2520,100,1,100,1
c2109-C-2540,100,1,100,1
c2109-C-2560,100,1,100,1
c2109-C-2580,100,1,100,1
c2109-C-2600,100,1,100,1
c2109-C-2620,100,1,100,1
c2109-C-2640,100,1,100,1
c2109-C-2660,100,1,100,1
c2109-C-2680,100,1,100,1
c2109-C-2700,100,1,100,1
c2109-C-2720,100,1,100,1
c2109-P-2240,100,1,100,1
c2109-P-2260,100,1,100,1
c2109-P-2280,100,1,100,1
c2109-P-2300,100,1,100,1
c2109-P-2320,100,1,100,1
c2109-P-2340,100,1,100,1
c2109-P-2360,100,1,100,1
c2109-P-2380,100,1,100,1
c2109-P-2400,100,1,100,1
c2109-P-2420,100,1,100,1
c2109-P-2440,100,1,100,1
cu2109P59000,30,1,100,1
cu2109P60000,30,1,100,1
cu2109P61000,30,1,100,1
hc2109,30,1,500,1
pb2109,30,1,500,1
rb2109,30,1,500,1
ru2109,30,1,500,1
ru2109C10250,30,1,100,1
ru2109C10500,30,1,100,1
ru2109C10750,30,1,100,1
ru2109C11000,30,1,100,1
ru2109C11250,30,1,100,1
ru2109C11500,30,1,100,1
ru2109C11750,30,1,100,1
ru2109C12000,30,1,100,1
ru2109C12250,30,1,100,1
ru2109C12500,30,1,100,1
ru2109C12750,30,1,100,1
ru2109C13000,30,1,100,1
ru2109C13250,30,1,100,1
ru2109C13500,30,1,100,1
c2109-P-2460,100,1,100,1
c2109-P-2480,100,1,100,1
c2109-P-2500,100,1,100,1
c2109-P-2520,100,1,100,1
c2109-P-2540,100,1,100,1
c2109-P-2560,100,1,100,1
c2109-P-2580,100,1,100,1
c2109-P-2600,100,1,100,1
c2109-P-2620,100,1,100,1
c2109-P-2640,100,1,100,1
c2109-P-2660,100,1,100,1
c2109-P-2680,100,1,100,1
c2109-P-2700,100,1,100,1
c2109-P-2720,100,1,100,1
i2109-C-620,1000,1,1000,1
i2109-C-630,1000,1,1000,1
i2109-C-640,1000,1,1000,1
i2109-C-650,1000,1,1000,1
i2109-C-660,1000,1,1000,1
i2109-C-670,1000,1,1000,1
i2109-C-680,1000,1,1000,1
i2109-C-690,1000,1,1000,1
i2109-C-700,1000,1,1000,1
i2109-C-710,1000,1,1000,1
i2109-C-720,1000,1,1000,1
i2109-C-730,1000,1,1000,1
i2109-C-740,1000,1,1000,1
ru2109C13750,30,1,100,1
pp2109-C-7600,1000,1,1000,1
pp2109-C-7700,1000,1,1000,1
pp2109-C-7800,1000,1,1000,1
pp2109-C-7900,1000,1,1000,1
pp2109-C-8000,1000,1,1000,1
pp2109-C-8100,1000,1,1000,1
pp2109-C-8200,1000,1,1000,1
pp2109-C-8300,1000,1,1000,1
pp2109-C-8400,1000,1,1000,1
pp2109-C-8500,1000,1,1000,1
pp2109-C-8600,1000,1,1000,1
pp2109-C-8700,1000,1,1000,1
pp2109-P-6500,1000,1,1000,1
pp2109-P-6600,1000,1,1000,1
pp2109-P-6700,1000,1,1000,1
pp2109-P-6800,1000,1,1000,1
pp2109-P-6900,1000,1,1000,1
pp2109-P-7000,1000,1,1000,1
pp2109-P-7100,1000,1,1000,1
pp2109-P-7200,1000,1,1000,1
pp2109-P-7300,1000,1,1000,1
pp2109-P-7400,1000,1,1000,1
pp2109-P-7500,1000,1,1000,1
pp2109-P-7600,1000,1,1000,1
pp2109-P-7700,1000,1,1000,1
fu2109,30,1,500,1
ru2109C14000,30,1,100,1
ru2109C14250,30,1,100,1
ru2109C14500,30,1,100,1
ru2109C14750,30,1,100,1
ru2109C15000,30,1,100,1
ru2109P10250,30,1,100,1
ru2109P10500,30,1,100,1
ru2109P10750,30,1,100,1
ru2109P11000,30,1,100,1
ru2109P11250,30,1,100,1
ru2109P11500,30,1,100,1
ru2109P11750,30,1,100,1
ru2109P12000,30,1,100,1
ru2109P12250,30,1,100,1
ru2109P12500,30,1,100,1
ru2109P12750,30,1,100,1
ru2109P13000,30,1,100,1
ru2109P13250,30,1,100,1
ru2109P13500,30,1,100,1
ru2109P13750,30,1,100,1
ru2109P14000,30,1,100,1
ru2109P14250,30,1,100,1
ru2109P14500,30,1,100,1
ru2109P14750,30,1,100,1
ru2109P15000,30,1,100,1
i2109-P-800,1000,1,1000,1
i2109-P-810,1000,1,1000,1
i2109-P-820,1000,1,1000,1
i2109-P-830,1000,1,1000,1
i2109-P-840,1000,1,1000,1
l2109-C-6300,1000,1,1000,1
l2109-C-6400,1000,1,1000,1
l2109-C-6500,1000,1,1000,1
l2109-C-6600,1000,1,1000,1
l2109-C-6700,1000,1,1000,1
l2109-C-6800,1000,1,1000,1
l2109-C-6900,1000,1,1000,1
l2109-C-7000,1000,1,1000,1
l2109-C-7100,1000,1,1000,1
l2109-C-7200,1000,1,1000,1
l2109-C-7300,1000,1,1000,1
l2109-C-7400,1000,1,1000,1
l2109-C-7500,1000,1,1000,1
l2109-C-7600,1000,1,1000,1
l2109-C-7700,1000,1,1000,1
l2109-C-7800,1000,1,1000,1
l2109-C-7900,1000,1,1000,1
l2109-C-8000,1000,1,1000,1
l2109-C-8100,1000,1,1000,1
l2109-C-8200,1000,1,1000,1
l2109-C-8300,1000,1,1000,1
l2109-P-6300,1000,1,1000,1
l2109-P-6400,1000,1,1000,1
l2109-P-6500,1000,1,1000,1
l2109-P-6600,1000,1,1000,1
l2109-P-6700,1000,1,1000,1
l2109-P-6800,1000,1,1000,1
l2109-P-6900,1000,1,1000,1
l2109-P-7000,1000,1,1000,1
l2109-P-7100,1000,1,1000,1
l2109-P-7200,1000,1,1000,1
CY108,1000,1,1000,1
FG108,1000,1,1000,1
MA108,1000,1,1000,1
RM108,1000,1,1000,1
RS108,1000,1,1000,1
SA108,1000,1,1000,1
SF108,1000,1,1000,1
SM108,1000,1,1000,1
UR108,1000,1,1000,1
b2108,1000,1,1000,1
bb2108,1000,1,1000,1
fb2108,1000,1,1000,1
i2108,1000,1,1000,1
j2108,500,1,500,1
i2109-C-750,1000,1,1000,1
i2109-C-760,1000,1,1000,1
i2109-C-770,1000,1,1000,1
i2109-C-780,1000,1,1000,1
i2109-C-790,1000,1,1000,1
i2109-C-800,1000,1,1000,1
i2109-C-810,1000,1,1000,1
i2109-C-820,1000,1,1000,1
i2109-C-830,1000,1,1000,1
i2109-C-840,1000,1,1000,1
i2109-P-620,1000,1,1000,1
i2109-P-630,1000,1,1000,1
i2109-P-640,1000,1,1000,1
i2109-P-650,1000,1,1000,1
i2109-P-660,1000,1,1000,1
i2109-P-670,1000,1,1000,1
i2109-P-680,1000,1,1000,1
i2109-P-690,1000,1,1000,1
i2109-P-700,1000,1,1000,1
i2109-P-710,1000,1,1000,1
i2109-P-720,1000,1,1000,1
i2109-P-730,1000,1,1000,1
i2109-P-740,1000,1,1000,1
i2109-P-750,1000,1,1000,1
i2109-P-760,1000,1,1000,1
jm2108,1000,1,1000,1
l2108,1000,1,1000,1
m2108,1000,1,1000,1
p2108,1000,1,1000,1
pp2108,1000,1,1000,1
rr2108,1000,1,1000,1
v2108,1000,1,1000,1
y2108,1000,1,1000,1
m2109-P-2650,100,1,100,1
m2109-P-2700,100,1,100,1
m2109-P-2750,100,1,100,1
m2109-P-2800,100,1,100,1
m2109-P-2850,100,1,100,1
m2109-P-2900,100,1,100,1
m2109-P-2950,100,1,100,1
m2109-P-3000,100,1,100,1
m2109-P-3050,100,1,100,1
m2109-P-3100,100,1,100,1
m2109-P-3150,100,1,100,1
m2109-P-3200,100,1,100,1
m2109-P-3250,100,1,100,1
m2109-P-3300,100,1,100,1
pp2109-C-6500,1000,1,1000,1
pp2109-C-6600,1000,1,1000,1
pp2109-C-6700,1000,1,1000,1
pp2109-C-6800,1000,1,1000,1
pp2109-C-6900,1000,1,1000,1
pp2109-C-7000,1000,1,1000,1
pp2109-C-7100,1000,1,1000,1
pp2109-C-7200,1000,1,1000,1
pp2109-C-7300,1000,1,1000,1
pp2109-C-7400,1000,1,1000,1
pp2109-C-7500,1000,1,1000,1
ZC108,1000,1,1000,1
l2109-P-7300,1000,1,1000,1
l2109-P-7400,1000,1,1000,1
l2109-P-7500,1000,1,1000,1
l2109-P-7600,1000,1,1000,1
l2109-P-7700,1000,1,1000,1
l2109-P-7800,1000,1,1000,1
l2109-P-7900,1000,1,1000,1
l2109-P-8000,1000,1,1000,1
l2109-P-8100,1000,1,1000,1
l2109-P-8200,1000,1,1000,1
l2109-P-8300,1000,1,1000,1
m2109-C-2650,100,1,100,1
m2109-C-2700,100,1,100,1
m2109-C-2750,100,1,100,1
m2109-C-2800,100,1,100,1
m2109-C-2850,100,1,100,1
m2109-C-2900,100,1,100,1
m2109-C-2950,100,1,100,1
m2109-C-3000,100,1,100,1
m2109-C-3050,100,1,100,1
m2109-C-3100,100,1,100,1
m2109-C-3150,100,1,100,1
m2109-C-3200,100,1,100,1
m2109-C-3250,100,1,100,1
m2109-C-3300,100,1,100,1
i2109-P-770,1000,1,1000,1
i2109-P-780,1000,1,1000,1
sp2109,30,1,500,1
ss2109,30,1,500,1
wr2109,30,1,500,1
zn2109,30,1,500,1
i2109-P-790,1000,1,1000,1
lu2109,30,1,500,1
sc2309,30,1,500,1
nr2109,30,1,500,1
ag2109,30,1,500,1
al2109,30,1,500,1
au2110,30,1,500,1
au2110C348,30,1,100,1
hc2108,30,1,500,1
ni2108,30,1,500,1
pb2108,30,1,500,1
zn2108,30,1,500,1
y2109,1000,1,1000,1
p2109,1000,1,1000,1
m2109,1000,1,1000,1
c2109,2000,1,2000,1
pp2109,1000,1,1000,1
l2109,1000,1,1000,1
v2109,1000,1,1000,1
c2109-C-2740,100,1,100,1
c2109-P-2740,100,1,100,1
i2109-C-580,1000,1,1000,1
i2109-C-590,1000,1,1000,1
i2109-C-600,1000,1,1000,1
i2109-C-610,1000,1,1000,1
i2109-P-600,1000,1,1000,1
i2109-P-610,1000,1,1000,1
m2109-C-2600,100,1,100,1
m2109-P-2600,100,1,100,1
v2109-C-5500,1000,1,1000,1
v2109-P-5500,1000,1,1000,1
cs2109,1000,1,1000,1
i2109,1000,1,1000,1
j2109,500,1,500,1
jm2109,1000,1,1000,1
rr2109,1000,1,1000,1
pp2109-P-7800,1000,1,1000,1
pp2109-P-7900,1000,1,1000,1
pp2109-P-8000,1000,1,1000,1
pp2109-P-8100,1000,1,1000,1
pp2109-P-8200,1000,1,1000,1
pp2109-P-8300,1000,1,1000,1
pp2109-P-8400,1000,1,1000,1
pp2109-P-8500,1000,1,1000,1
pp2109-P-8600,1000,1,1000,1
pp2109-P-8700,1000,1,1000,1
v2109-C-5600,1000,1,1000,1
v2109-C-5700,1000,1,1000,1
a2109,1000,1,1000,1
b2109,1000,1,1000,1
bb2109,1000,1,1000,1
fb2109,1000,1,1000,1
CJ109,1000,1,1000,1
CY109,1000,1,1000,1
FG109,1000,1,1000,1
JR109,1000,1,1000,1
LR109,1000,1,1000,1
MA109,1000,1,1000,1
OI109,1000,1,1000,1
PM109,1000,1,1000,1
RI109,1000,1,1000,1
RM109,1000,1,1000,1
i2109-P-580,1000,1,1000,1
i2109-P-590,1000,1,1000,1
l2109-C-8400,1000,1,1000,1
l2109-P-8400,1000,1,1000,1
v2109-C-7300,1000,1,1000,1
v2109-P-7300,1000,1,1000,1
v2109-C-5800,1000,1,1000,1
v2109-C-5900,1000,1,1000,1
v2109-C-6000,1000,1,1000,1
v2109-C-6100,1000,1,1000,1
v2109-C-6200,1000,1,1000,1
v2109-C-6300,1000,1,1000,1
v2109-C-6400,1000,1,1000,1
v2109-C-6500,1000,1,1000,1
v2109-C-6600,1000,1,1000,1
v2109-C-6700,1000,1,1000,1
v2109-C-6800,1000,1,1000,1
v2109-C-6900,1000,1,1000,1
v2109-C-7000,1000,1,1000,1
v2109-C-7100,1000,1,1000,1
v2109-C-7200,1000,1,1000,1
v2109-P-5600,1000,1,1000,1
v2109-P-5700,1000,1,1000,1
v2109-P-5800,1000,1,1000,1
v2109-P-5900,1000,1,1000,1
v2109-P-6000,1000,1,1000,1
v2109-P-6100,1000,1,1000,1
v2109-P-6200,1000,1,1000,1
v2109-P-6300,1000,1,1000,1
v2109-P-6400,1000,1,1000,1
v2109-P-6500,1000,1,1000,1
RS109,1000,1,1000,1
SA109,1000,1,1000,1
SF109,1000,1,1000,1
SM109,1000,1,1000,1
UR109,1000,1,1000,1
WH109,1000,1,1000,1
TA109C3350,100,1,100,1
TA109P3350,100,1,100,1
m2109-C-2500,100,1,100,1
m2109-P-2500,100,1,100,1
pg2109-C-2800,1000,1,1000,1
pg2109-C-2850,1000,1,1000,1
pg2109-C-2900,1000,1,1000,1
pg2109-C-2950,1000,1,1000,1
pg2109-C-3000,1000,1,1000,1
pg2109-C-3050,1000,1,1000,1
pg2109-C-3100,1000,1,1000,1
pg2109-C-3150,1000,1,1000,1
pg2109-C-3200,1000,1,1000,1
pg2109-C-3250,1000,1,1000,1
pg2109-C-3300,1000,1,1000,1
pg2109-C-3350,1000,1,1000,1
pg2109-C-3400,1000,1,1000,1
lu2108,30,1,500,1
sc2108,30,1,500,1
fu2108,30,1,500,1
v2109-P-6600,1000,1,1000,1
v2109-P-6700,1000,1,1000,1
v2109-P-6800,1000,1,1000,1
v2109-P-6900,1000,1,1000,1
v2109-P-7000,1000,1,1000,1
v2109-P-7100,1000,1,1000,1
v2109-P-7200,1000,1,1000,1
ni2109,30,1,500,1
sn2109,30,1,500,1
jd2109,300,1,300,1
pg2109,1000,1,1000,1
pg2109-P-3600,1000,1,1000,1
pg2109-P-3650,1000,1,1000,1
pg2109-P-3700,1000,1,1000,1
pg2109-P-3750,1000,1,1000,1
pg2109-P-3800,1000,1,1000,1
pg2109-P-3850,1000,1,1000,1
CF109P14800,100,1,100,1
CF109P15000,100,1,100,1
SR109C4700,100,1,100,1
SR109C4800,100,1,100,1
SR109C4900,100,1,100,1
SR109C5000,100,1,100,1
SR109C5100,100,1,100,1
SR109C5200,100,1,100,1
SR109C5300,100,1,100,1
SR109C5400,100,1,100,1
SR109C5500,100,1,100,1
SR109C5600,100,1,100,1
SR109C5700,100,1,100,1
SR109P4700,100,1,100,1
SR109P4800,100,1,100,1
SR109P4900,100,1,100,1
SR109P5000,100,1,100,1
c2109-C-2760,100,1,100,1
c2109-P-2760,100,1,100,1
SR109P5100,100,1,100,1
SR109P5200,100,1,100,1
SR109P5300,100,1,100,1
SR109P5400,100,1,100,1
SR109P5500,100,1,100,1
SR109P5600,100,1,100,1
SR109P5700,100,1,100,1
m2109-C-2550,100,1,100,1
m2109-P-2550,100,1,100,1
CF109C12200,100,1,100,1
TA109C3400,100,1,100,1
TA109P3400,100,1,100,1
pg2109-C-3450,1000,1,1000,1
pg2109-C-3500,1000,1,1000,1
pg2109-C-3550,1000,1,1000,1
pg2109-C-3600,1000,1,1000,1
pg2109-C-3650,1000,1,1000,1
pg2109-C-3700,1000,1,1000,1
pg2109-C-3750,1000,1,1000,1
pg2109-C-3800,1000,1,1000,1
pg2109-C-3850,1000,1,1000,1
pg2109-P-2800,1000,1,1000,1
pg2109-P-2850,1000,1,1000,1
pg2109-P-2900,1000,1,1000,1
pg2109-P-2950,1000,1,1000,1
pg2109-P-3000,1000,1,1000,1
pg2109-P-3050,1000,1,1000,1
pg2109-P-3100,1000,1,1000,1
pg2109-P-3150,1000,1,1000,1
pg2109-P-3200,1000,1,1000,1
pg2109-P-3250,1000,1,1000,1
pg2109-P-3300,1000,1,1000,1
pg2109-P-3350,1000,1,1000,1
pg2109-P-3400,1000,1,1000,1
pg2109-P-3450,1000,1,1000,1
pg2109-P-3500,1000,1,1000,1
pg2109-P-3550,1000,1,1000,1
CF109C12400,100,1,100,1
CF109C12600,100,1,100,1
CF109C12800,100,1,100,1
CF109C13000,100,1,100,1
CF109C13200,100,1,100,1
CF109C13400,100,1,100,1
CF109C13600,100,1,100,1
CF109C13800,100,1,100,1
CF109C14000,100,1,100,1
CF109C14200,100,1,100,1
CF109C14400,100,1,100,1
CF109C14600,100,1,100,1
CF109P12200,100,1,100,1
CF109P12400,100,1,100,1
CF109P12600,100,1,100,1
CF109P12800,100,1,100,1
CF109P13000,100,1,100,1
CF109P13200,100,1,100,1
CF109P13400,100,1,100,1
CF109P13600,100,1,100,1
CF109P13800,100,1,100,1
CF109P14000,100,1,100,1
CF109P14200,100,1,100,1
CF109P14400,100,1,100,1
CF109P14600,100,1,100,1
c2109-C-2200,100,1,100,1
c2109-C-2220,100,1,100,1
c2109-C-2780,100,1,100,1
c2109-C-2800,100,1,100,1
c2109-C-2820,100,1,100,1
c2109-P-2200,100,1,100,1
c2109-P-2220,100,1,100,1
c2109-P-2780,100,1,100,1
c2109-P-2800,100,1,100,1
c2109-P-2820,100,1,100,1
IO2109-C-4200,0,1,20,1
IO2109-C-4300,0,1,20,1
IO2109-C-4400,0,1,20,1
IO2109-C-4100,0,1,20,1
IO2109-P-4100,0,1,20,1
i2109-C-570,1000,1,1000,1
i2109-P-570,1000,1,1000,1
lu2110,30,1,500,1
sc2110,30,1,500,1
fu2110,30,1,500,1
TA109C3450,100,1,100,1
TA109C3500,100,1,100,1
TA109C3550,100,1,100,1
TA109C3600,100,1,100,1
TA109C3650,100,1,100,1
TA109C3700,100,1,100,1
TA109C3750,100,1,100,1
TA109C3800,100,1,100,1
TA109C3850,100,1,100,1
TA109C3900,100,1,100,1
TA109C3950,100,1,100,1
TA109C4000,100,1,100,1
TA109C4050,100,1,100,1
TA109P3450,100,1,100,1
TA109P3500,100,1,100,1
TA109P3550,100,1,100,1
TA109P3600,100,1,100,1
TA109P3650,100,1,100,1
TA109P3700,100,1,100,1
TA109P3750,100,1,100,1
TA109P3800,100,1,100,1
ZC109,1000,1,1000,1
IO2109-C-4500,0,1,20,1
IO2109-C-4600,0,1,20,1
IO2109-C-4700,0,1,20,1
IO2109-C-4800,0,1,20,1
IO2109-C-4900,0,1,20,1
IO2109-C-5000,0,1,20,1
IO2109-C-5200,0,1,20,1
IO2109-C-5400,0,1,20,1
IO2109-P-4200,0,1,20,1
IO2109-P-4300,0,1,20,1
IO2109-P-4400,0,1,20,1
IO2109-P-4500,0,1,20,1
IO2109-P-4600,0,1,20,1
IO2109-P-4700,0,1,20,1
